bachelor	length	gender	study_direction	color	high_school
61	159	F	B	R	74
72	182	M	B	L	79
79.3	164	F	B	L	79
70.1	190	M	B	D	74
79	164	F	B	D	82
79.5	177	M	B	D	75
56	170	F	B	R	65
59	172	F	B	L	75
64	164	F	B	L	60
64	162	F	B	L	77
63.5	169	F	B	D	80
59	190	M	B	D	70
73	177	F	B	L	75
63	172	F	B	D	75
70	162	F	B	L	68
64	181	M	B	L	67
60	187	M	B	D	65
61	180	M	B	L	69
85	187	M	B	L	86
58	165	F	B	R	60
67.5	180	F	B	D	79
66	179	M	B	D	77
73.5	187	M	B	L	69
70.3	184	M	B	L	61
80	172	F	B	L	73
71	175	F	B	L	66
59	184	M	B	L	65
61.5	164	F	B	D	70
65.5	173	F	B	D	73
78	176	F	B	D	72
71	178	F	B	D	73
74	168	F	B	D	78
68	167	F	B	D	82
59	170	F	C	R	75
88.6	160	F	C	R	91
64.5	180	F	C	D	73
63.89	167.5	M	C	D	71
63.05	170.5	M	C	L	70
78	170	M	C	D	81
51	168	M	C	R	69.8
77.8	184	M	C	R	76.8
49.9	170	M	C	D	71.2
64	183	M	C	D	76
76	170	M	C	L	73
57	173	F	G	D	80
69	167	M	G	L	67
59	165	F	G	D	68
70	178	F	G	R	68
57	166	F	G	L	80
68	167	M	G	R	70
66	170	F	G	L	75
68	168	F	G	R	79
57	168	M	G	L	75
72	166	F	G	L	77
67	167	F	G	D	78
66	173	M	G	L	80
